base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
ScienceDirect,S5,SD5 — Lesões gástricas,YAN2025115050,Nylon66-Au@Ag core-shell nanocomposites fabricated by filtration-accumulation for gastritis staging via SERS biosensing,Zixing Yan; Peipei Xu; Junpeng Su; Jingxin Chen; Youmei Liu; Chuyi Wang; Yudong Lu,2025,https://doi.org/10.1016/j.microc.2025.115050,Microchemical Journal,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,ScienceDirect/S5; Web of Science/S2,sim
ScienceDirect,S5,SD5 — Lesões gástricas,MA2023104200,Deep learning for classification and localization of early gastric cancer in endoscopic images,Lingyu Ma; Xiufeng Su; Liyong Ma; Xiaozhong Gao; Mingjian Sun,2023,https://doi.org/10.1016/j.bspc.2022.104200,Biomedical Signal Processing and Control,duplicate,Duplicata de 'Deep learning for classification and localization of early gastric cancer in end…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,HUANG2025113,The application of artificial intelligence in upper gastrointestinal cancers,Xiaoying Huang; Minghao Qin; Mengjie Fang; Zipei Wang; Chaoen Hu; Tongyu Zhao; Zhuyuan Qin; Haishan Zhu; Ling Wu; Guowei Yu; Francesco De Cobelli; Xuebin Xie; Diego Palumbo; Jie Tian; Di Dong,2025,https://doi.org/10.1016/j.jncc.2024.12.006,Journal of the National Cancer Center,duplicate,Duplicata de 'The application of artificial intelligence in upper gastrointestinal cancers…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,WU2024117784,Utilizing nanotechnology and advanced machine learning for early detection of gastric cancer surgery,Dan Wu; Jianhua Lu; Nan Zheng; Mohamed Gamal Elsehrawy; Faiz Abdulaziz Alfaiz; Huajun Zhao; Mohammed S. Alqahtani; Hongtao Xu,2024,https://doi.org/10.1016/j.envres.2023.117784,Environmental Research,duplicate,Duplicata de 'Utilizing nanotechnology and advanced machine learning for early detection of ga…' já presente em ScienceDirect/S10.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,EBIGBO20211342,Artificial intelligence in the upper GI tract: the future is fast approaching,Alanna Ebigbo; Helmut Messmann,2021,https://doi.org/10.1016/j.gie.2021.01.012,Gastrointestinal Endoscopy,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,ZHANG2023181,Effect of a deep learning–based automatic upper GI endoscopic reporting system: a randomized crossover study (with video),Lihui Zhang; Zihua Lu; Liwen Yao; Zehua Dong; Wei Zhou; Chunping He; Renquan Luo; Mengjiao Zhang; Jing Wang; Yanxia Li; Yunchao Deng; Chenxia Zhang; Xun Li; Renduo Shang; Ming Xu; Junxiao Wang; Yu Zhao; Lianlian Wu; Honggang Yu,2023,https://doi.org/10.1016/j.gie.2023.02.025,Gastrointestinal Endoscopy,duplicate,Duplicata de 'Effect of a deep learning-based automatic upper GI endoscopic reporting system: …' já presente em PubMed/S3.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,LI2026S-2536,Sa1171 CLINICAL EVALUATION OF A SERUM 12-MIRNA TEST FOR GASTRIC CANCER SCREENING IN A HIGH-RISK CHINESE POPULATION: A PROSPECTIVE MULTICENTRE STUDY,Xun Li; Xiaoliang Zhu; Haiping Wang; Jun Zhang; Rong Lin; Siyu Sun; Xiaofeng Zhang; Side Liu; Yan-Qing Li; Yi Zhang; Fanghui Ding; Hui Guo; He Cheng; Jit Kong Cheong; Jimmy B. So; Ruiyang Zou; Lihan Zhou; Heng-Phon Too; Khay-Guan Yeoh,2026,https://doi.org/10.1016/S0016-5085(26)06012-9,Gastroenterology,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,SINNARASAN202641,Chapter 3 - Rise of machine learning applications in diagnosis and prognosis of gastric cancer: Imaging and omics data,Vigneshwar Suriya Prakash Sinnarasan; Dahrii Paul; Rajesh Das; Mujibur Rahman Sheikh; Amouda Vekatesan,2026,https://doi.org/10.1016/B978-0-443-44121-9.00008-1,Artificial Intelligence in Gastrointestinal Cancers,duplicate,Duplicata de 'Chapter 3 - Rise of machine learning applications in diagnosis and prognosis of …' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,RIGAS2026S-2535,1277 DECENTRALIZED HAND-HELD UREA BREATH TESTING OVERCOMES COST AND WORKFLOW BARRIERS TO H. PYLORI DIAGNOSIS AND SUPPORTS UPSTREAM GASTRIC-CANCER RISK REDUCTION,Anastasia Rigas,2026,https://doi.org/10.1016/S0016-5085(26)06009-9,Gastroenterology,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,WANG2026103756,Development and validation of an interpretable machine learning model for non-invasive screening of precancerous gastric lesions using symptom and lifestyle data: a multicentre cohort study,Lan Wang; Kaiqiang Tang; Peng Zhang; Jiasheng Liu; Bowen Wu; Jun Chen; Yan Li; Shiyu Du; Yan Wang; Shao Li,2026,https://doi.org/10.1016/j.eclinm.2026.103756,eClinicalMedicine,duplicate,Duplicata de 'Development and validation of an interpretable machine learning model for non-in…' já presente em ScienceDirect/S10.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,WU2022269,Real-time artificial intelligence for detecting focal lesions and diagnosing neoplasms of the stomach by white-light endoscopy (with videos),Lianlian Wu; Ming Xu; Xiaoda Jiang; Xinqi He; Heng Zhang; Yaowei Ai; Qiaoyun Tong; Peihua Lv; Bin Lu; Mingwen Guo; Manling Huang; Liping Ye; Lei Shen; Honggang Yu,2022,https://doi.org/10.1016/j.gie.2021.09.017,Gastrointestinal Endoscopy,duplicate,Duplicata de 'Real-time artificial intelligence for detecting focal lesions and diagnosing neo…' já presente em Scopus/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,LI2026S-2536,Sa1171 CLINICAL EVALUATION OF A SERUM 12-MIRNA TEST FOR GASTRIC CANCER SCREENING IN A HIGH-RISK CHINESE POPULATION: A PROSPECTIVE MULTICENTRE STUDY,Xun Li; Xiaoliang Zhu; Haiping Wang; Jun Zhang; Rong Lin; Siyu Sun; Xiaofeng Zhang; Side Liu; Yan-Qing Li; Yi Zhang; Fanghui Ding; Hui Guo; He Cheng; Jit Kong Cheong; Jimmy B. So; Ruiyang Zou; Lihan Zhou; Heng-Phon Too; Khay-Guan Yeoh,2026,https://doi.org/10.1016/S0016-5107(26)05943-2,Gastrointestinal Endoscopy,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,DAI2025102190,Combining methylated RNF180 and SFRP2 plasma biomarkers for noninvasive diagnosis of gastric cancer,Zhihao Dai; Jin Jiang; Qianping Chen; Minghua Bai; Quanquan Sun; Yanru Feng; Dong Liu; Dong Wang; Tong Zhang; Liang Han; Litheng Ng; Jun Zheng; Hao Zou; Wei Mao; Ji Zhu,2025,https://doi.org/10.1016/j.tranon.2024.102190,Translational Oncology,included,DL/CV aplicado a achados do trato GI alto — presume-se imagens endoscópicas/histopatológicas.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,BHOSALE2026715,ACR Appropriateness Criteria® Staging and Follow-up of Gastric Cancer,Priya R. Bhosale; Mayur K. Virarkar; Kevin J. Chang; Brooks D. Cash; Victoria Chernyak; Ayushi Gupta; Alex C. Kim; Samuel J. Klempner; Michael Magnetta; David Schultz; William Small; Lilja B. Solnes; Richelle Williams; Joseph H. Yacoub; Elena K. Korngold,2026,https://doi.org/10.1016/j.jacr.2026.01.019,Journal of the American College of Radiology,included,"Sinais ambíguos no abstract, mas recuperado por string forte (ScienceDirect/S5) com filtro endoscopia alta + IA — confiável.",ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,HUANG2025118041,Advances in Helicobacter pylori detection technology: From pathology-based to multi-omic based methods,Huishu Huang; Ying Li; Yuwei Wu; Xinyu Zhao; He Gao; Xinqiang Xie; Lei Wu; Hui Zhao; Longyan Li; Jumei Zhang; Moutong Chen; Qingping Wu,2025,https://doi.org/10.1016/j.trac.2024.118041,TrAC Trends in Analytical Chemistry,duplicate,Duplicata de 'Advances in Helicobacter pylori detection technology: From pathology-based to mu…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,GONCALVES2025101979,Early diagnosis of gastric cancer: Endoscopy and artificial intelligence,N. Gonçalves; J. Chaves; I. Marques- Sá; M. Dinis-Ribeiro; D. Libânio,2025,https://doi.org/10.1016/j.bpg.2025.101979,Best Practice & Research Clinical Gastroenterology,duplicate,Duplicata de 'Early diagnosis of gastric cancer: Endoscopy and artificial intelligence…' já presente em PubMed/S3.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,IWASAKI2026S-2536,Sa1169 TUMOR-DERIVED EXOSOMES DRIVE SYMPATHETIC INNERVATION TO PROMOTE EARLY RECURRENCE IN GASTRIC CANCER: INVESTIGATING THE NEURO-NEOPLASTIC AXIS,Kenichi Iwasaki; Ryoko Soya; Yuichi Nagakawa; Takahiro Ochiya,2026,https://doi.org/10.1016/S0016-5107(26)05941-9,Gastrointestinal Endoscopy,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,XIE2024878.e1,A new artificial intelligence system for both stomach and small-bowel capsule endoscopy,Xia Xie; Yu-Feng Xiao; Huan Yang; Xue Peng; Jian-Jun Li; Yuan-Yuan Zhou; Chao-Qiang Fan; Rui-Ping Meng; Bao-Bao Huang; Xi-Ping Liao; Yu-Yang Chen; Ting-Ting Zhong; Hui Lin; Anastasios Koulaouzidis; Shi-Ming Yang,2024,https://doi.org/10.1016/j.gie.2024.06.004,Gastrointestinal Endoscopy,duplicate,Duplicata de 'A new artificial intelligence system for both stomach and small-bowel capsule en…' já presente em PubMed/S3.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,RAMESH2025,Differentiating Gastric Cancers from Acid Peptic Diseases through Integrative Targeted Proteomics and Machine Learning Approaches,Poornima Ramesh; Shubham Sukerndeo Upadhyay; Sonet Daniel Thomas; Chandrashekar Jeevaraj Sorake; Ganesh M. K.; Vijith Vittal Shetty; Prashant Kumar Modi; Rohan Shetty; Manavalan Vijayakumar; Jalaluddin Akbar Kandel Codi; Thottethodi Subrahmanya Keshava Prasad,2025,https://doi.org/10.1021/acs.jproteome.5c00547,Journal of Proteome Research,included,DL/CV aplicado a achados do trato GI alto — presume-se imagens endoscópicas/histopatológicas.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,HU20211333,Identifying early gastric cancer under magnifying narrow-band images with deep learning: a multicenter study,Hao Hu; Lixin Gong; Di Dong; Liang Zhu; Min Wang; Jie He; Lei Shu; Yiling Cai; Shilun Cai; Wei Su; Yunshi Zhong; Cong Li; Yongbei Zhu; Mengjie Fang; Lianzhen Zhong; Xin Yang; Pinghong Zhou; Jie Tian,2021,https://doi.org/10.1016/j.gie.2020.11.014,Gastrointestinal Endoscopy,duplicate,Duplicata de 'Identifying early gastric cancer under magnifying narrow-band images with deep l…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,HU2026121154,Real-time localization method for magnetic capsule robot using transfer learning in physics-informed neural network,Mengya Hu; Qingqing Wang; Yurui Shen; Ting Zhang; Jun Wu; Dezheng Hua; Xinhua Liu,2026,https://doi.org/10.1016/j.measurement.2026.121154,Measurement,included,DL/CV aplicado a achados do trato GI alto — presume-se imagens endoscópicas/histopatológicas.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,JEONG2025110689,A lightweight YOLOv8-based model for gastric cancer detection,Seung-Won Jeong; Shabir Ahmad; Jae-Seoung Kim; Taegkeun Whangbo,2025,https://doi.org/10.1016/j.compbiomed.2025.110689,Computers in Biology and Medicine,duplicate,Duplicata de 'A lightweight YOLOv8-based model for gastric cancer detection…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,YAN2023107486,PKDN: Prior Knowledge Distillation Network for bronchoscopy diagnosis,Pengfei Yan; Weiling Sun; Xiang Li; Minglei Li; Yuchen Jiang; Hao Luo,2023,https://doi.org/10.1016/j.compbiomed.2023.107486,Computers in Biology and Medicine,duplicate,Duplicata de 'PKDN: Prior Knowledge Distillation Network for bronchoscopy diagnosis…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,HE2024128228,A two-stage image enhancement and dynamic feature aggregation framework for gastroscopy image segmentation,Dongzhi He; Yunyu Li; Liule Chen; Yu Liang; Yongle Xue; Xingmei Xiao; Yunqi Li,2024,https://doi.org/10.1016/j.neucom.2024.128228,Neurocomputing,duplicate,Duplicata de 'A two-stage image enhancement and dynamic feature aggregation framework for gast…' já presente em Scopus/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,REHMAN2026109648,DAAP-NET: Automatic identification and quantitative analysis of gastric wall structure for cancer screening using gastric ultrasound images,Mustafain Rehman; Zhijun Liu; Miao Fan; Ahsan Humayun; Mingze Ding; Bin Liu,2026,https://doi.org/10.1016/j.bspc.2026.109648,Biomedical Signal Processing and Control,included,"Sinais ambíguos no abstract, mas recuperado por string forte (ScienceDirect/S5) com filtro endoscopia alta + IA — confiável.",ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,ZHANG2025107891,An endoscopic images and diagnostic records based multimodal method for severity grading of gastric cancer,Xingyu Zhang; Xiangwei Zheng; Minghan Dong; Mingzhe Zhang,2025,https://doi.org/10.1016/j.bspc.2025.107891,Biomedical Signal Processing and Control,duplicate,Duplicata de 'An endoscopic images and diagnostic records based multimodal method for severity…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,WANG2024105516,Dual-modality image feature fusion network for gastric precancerous lesions classification,Jiansheng Wang; Benyan Zhang; Yan Wang; Chunhua Zhou; Duowu Zou; Maxim Sergeevich Vonsky; Lubov B. Mitrofanova; Qingli Li,2024,https://doi.org/10.1016/j.bspc.2023.105516,Biomedical Signal Processing and Control,included,DL/CV aplicado a achados do trato GI alto — presume-se imagens endoscópicas/histopatológicas.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,LOPES2026S-2536,Sa1170 FROM TISSUE TO SALIVA: SLC5A5 AS A POTENTIAL BIOMARKER FOR EARLY GASTRIC CANCER,Catarina Lopes; Andreia Brandão; Dimitris Vavoulis; Sofia Paulino; João Costa; Inês Marques-de-Sá; Sara Archer; Ricardo Kuttner-Magalhães; Ricardo Marques-Pinto; Diogo Libânio; Mario J. Dinis-Ribeiro; Ana Carina Pereira,2026,https://doi.org/10.1016/S0016-5107(26)05942-0,Gastrointestinal Endoscopy,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,IKEHARA2019440,Analysis of factors related to poor outcome after e-learning training in endoscopic diagnosis of early gastric cancer using magnifying narrow-band imaging,Hisatomo Ikehara; Hisashi Doyama; Hiroyoshi Nakanishi; Waku Hatta; Takuji Gotoda; Hideki Ishikawa; Kenshi Yao,2019,https://doi.org/10.1016/j.gie.2019.04.230,Gastrointestinal Endoscopy,duplicate,Duplicata de 'Analysis of factors related to poor outcome after e-learning training in endosco…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,LI2021103714,Proteomic profiling identifies signatures associated with progression of precancerous gastric lesions and risk of early gastric cancer,Xue Li; Nai-Ren Zheng; Lin-Heng Wang; Zhong-Wu Li; Zong-Chao Liu; Hua Fan; Yi Wang; Jin Dai; Xiao-Tian Ni; Xin Wei; Ming-Wei Liu; Kai Li; Zhe-Xuan Li; Tong Zhou; Yang Zhang; Jing-Ying Zhang; Gaohaer Kadeerhan; Sha Huang; Wen-Hui Wu; Wei-Dong Liu; Xiu-Zhen Wu; Lan-Fu Zhang; Jian-Ming Xu; Markus Gerhard; Wei-Cheng You; Kai-Feng Pan; Wen-Qing Li; Jun Qin,2021,https://doi.org/10.1016/j.ebiom.2021.103714,eBioMedicine,included,"Sinais ambíguos no abstract, mas recuperado por string forte (ScienceDirect/S5) com filtro endoscopia alta + IA — confiável.",ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,LUO2025S695,COMPARISON OF A NOVEL CAPSULE GASTROSCOPY WITH CONVENTIONAL ELECTRONIC GASTRODUODENOSCOPY: A PRELIMINARY PROSPECTIVE STUDY,Xiaobei Luo; Baoyi Huang; Side Liu; Xueqing Chen; Hui Yang; Beiping Zhang,2025,https://doi.org/10.1016/j.gie.2025.03.1199,Gastrointestinal Endoscopy,included,Título/keywords indicam endoscopia + achado GI alto; presume-se CAD/análise de imagem.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,BALAN2026108766,DPC-Net: Dense Pyramid CAViaR Network for gastric cancer detection with lymph node segmentation using histopathological image,Santhosh Kumar Balan; Martin Margala; Prasun Chakrabarti; Mohammed Ali Hussain,2026,https://doi.org/10.1016/j.bspc.2025.108766,Biomedical Signal Processing and Control,duplicate,Duplicata de 'DPC-Net: Dense Pyramid CAViaR Network for gastric cancer detection with lymph no…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,RIGAS2026S-2535,1277 DECENTRALIZED HAND-HELD UREA BREATH TESTING OVERCOMES COST AND WORKFLOW BARRIERS TO H. PYLORI DIAGNOSIS AND SUPPORTS UPSTREAM GASTRIC-CANCER RISK REDUCTION,Anastasia Rigas,2026,https://doi.org/10.1016/S0016-5107(26)05940-7,Gastrointestinal Endoscopy,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,DENG2022e12431,Artificial intelligence applications in pathological diagnosis of gastric cancer,Yang Deng; Hang-Yu Qin; Yan-Yan Zhou; Hong-Hong Liu; Yong Jiang; Jian-Ping Liu; Ji Bao,2022,https://doi.org/10.1016/j.heliyon.2022.e12431,Heliyon,duplicate,Duplicata de 'Artificial intelligence applications in pathological diagnosis of gastric cancer…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,LOPES2025102009,Advances towards gastric cancer screening: Novel devices and biomarkers,Catarina Lopes; Carina Pereira,2025,https://doi.org/10.1016/j.bpg.2025.102009,Best Practice & Research Clinical Gastroenterology,included,"Sinais ambíguos no abstract, mas recuperado por string forte (ScienceDirect/S5) com filtro endoscopia alta + IA — confiável.",ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,IWASAKI2026S-2536,Sa1169 TUMOR-DERIVED EXOSOMES DRIVE SYMPATHETIC INNERVATION TO PROMOTE EARLY RECURRENCE IN GASTRIC CANCER: INVESTIGATING THE NEURO-NEOPLASTIC AXIS,Kenichi Iwasaki; Ryoko Soya; Yuichi Nagakawa; Takahiro Ochiya,2026,https://doi.org/10.1016/S0016-5085(26)06010-5,Gastroenterology,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,GUPTA2026163,"Chapter 9 - The role of artificial intelligence in gastric cancer diagnosis, prognosis, surgery and drug discovery",Manoj Kumar Gupta; G.L.N. Prasad; Ramakrishna Vadde,2026,https://doi.org/10.1016/B978-0-443-44121-9.00005-6,Artificial Intelligence in Gastrointestinal Cancers,duplicate,"Duplicata de 'Chapter 9 - The role of artificial intelligence in gastric cancer diagnosis, pro…' já presente em ScienceDirect/S1.",ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,WANG2009425,Hedged predictions for traditional Chinese chronic gastritis diagnosis with confidence machine,Huazhen Wang; Chengde Lin; Fan Yang; Xueqin Hu,2009,https://doi.org/10.1016/j.compbiomed.2009.02.002,Computers in Biology and Medicine,included,DL/CV aplicado a achados do trato GI alto — presume-se imagens endoscópicas/histopatológicas.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,DING2019395,Smart electronic gastroscope system using a cloud–edge collaborative framework,Shuai Ding; Ling Li; Zhenmin Li; Hao Wang; Yanchun Zhang,2019,https://doi.org/10.1016/j.future.2019.04.031,Future Generation Computer Systems,duplicate,"Duplicata de 'Smart electronic gastroscope system using a cloud-edge collaborative
framework…' já presente em Web of Science/S1.",ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,PAPAIOANNOU2026100465,Liquid biopsies for the diagnosis of early-stage gastric cancer: A 5-year systematic review,Efthymia Papaioannou; Despoina Ioannou; Theodora Papamitsou; Matthaios Bobos; Michalis Aivaliotis; Konstantina Psatha; Evangelos Karamitrousis,2026,https://doi.org/10.1016/j.jlb.2026.100465,The Journal of Liquid Biopsy,included,"Sinais ambíguos no abstract, mas recuperado por string forte (ScienceDirect/S5) com filtro endoscopia alta + IA — confiável.",ScienceDirect/S5,sim
